Project ,Type,Type,BCWP,ACWP
935Y07,CO,Revenue,17058202.62,229235155.2
935Y07,CO,Cost,6474912.8,14125670.63
935Y07,MAIN,Cost,7136959.11,3016475.4
,,,,
936Y07,CO,Revenue,57232194.97,60258235.07
936Y07,CO,Cost,0,78874195.36
936Y07,MAIN,Revenue,0,605377691
,,,,
937Y07,CO,Revenue,36630673.21,42166417.59
937Y07,CO,Cost,0,48579028.16
,,,,
938Y07,MAIN,Revenue,0,177714706
938Y07,MAIN,Cost,0,0
,,,,
948Y07,CO,Revenue,20124984.5,56141220.23
948Y07,CO,Cost,0,17382495.84
948Y07,MAIN,Revenue,772244,52694395.99
948Y07,MAIN,Cost,0,0
,,,,
